AGREEMENTID,FORECLOSURE
11220001,1
11220002,1
11220006,1
11220008,1
11220010,1
11220011,0
11220012,0
11220014,1
11220016,1
11220017,0
11220020,1
11220021,1
11220022,1
11220025,1
11220026,0
11220029,1
11220030,1
11220032,0
11220034,0
11220036,1
11220037,1
11220039,1
11220040,0
11220041,0
11220042,0
11220043,0
11220044,0
11220046,0
11220048,1
11220050,0
11220051,1
11220052,0
11220053,1
11220054,0
11220055,1
11220056,0
11220057,1
11220058,1
11220059,0
11220061,1
11220063,0
11220064,0
11220065,1
11220066,1
11220067,1
11220069,1
11220070,1
11220072,0
11220074,0
11220075,0
11220076,0
11220077,0
11220081,0
11220082,0
11220083,0
11220084,1
11220085,1
11220088,0
11220089,0
11220090,0
11220092,0
11220096,0
11220098,0
11220100,0
11220104,1
11220105,1
11220106,1
11220107,0
11220108,1
11220109,1
11220112,1
11220113,1
11220114,0
11220115,0
11220117,0
11220118,0
11220120,1
11220122,0
11220124,1
11220126,1
11220128,1
11220129,0
11220130,0
11220132,1
11220133,0
11220134,0
11220135,1
11220136,1
11220137,1
11220138,1
11220139,1
11220143,1
11220144,1
11220145,1
11220146,1
11220150,0
11220152,1
11220153,1
11220154,1
11220155,0
11220156,0
11220157,1
11220159,1
11220161,0
11220162,0
11220164,1
11220165,1
11220166,0
11220168,1
11220169,1
11220170,1
11220172,0
11220173,0
11220175,1
11220177,0
11220178,0
11220179,0
11220185,1
11220187,1
11220191,1
11220198,0
11220199,1
11220200,1
11220203,1
11220208,1
11220209,1
11220210,1
11220213,0
11220216,0
11220217,0
11220220,1
11220221,0
11220222,1
11220223,0
11220225,0
11220226,1
11220227,1
11220228,1
11220230,1
11220231,0
11220232,1
11220233,0
11220235,1
11220236,1
11220237,0
11220238,0
11220239,1
11220240,0
11220241,0
11220244,0
11220246,0
11220247,0
11220249,1
11220250,1
11220255,0
11220257,0
11220259,1
11220264,1
11220265,0
11220267,0
11220268,1
11220269,0
11220270,0
11220272,0
11220274,1
11220275,1
11220276,1
11220277,1
11220281,0
11220283,0
11220284,0
11220293,0
11220294,0
11220297,0
11220298,0
11220302,0
11220303,0
11220306,1
11220307,0
11220308,0
11220310,1
11220315,1
11220317,0
11220318,0
11220321,0
11220322,0
11220324,1
11220326,0
11220328,1
11220329,0
11220330,1
11220331,0
11220333,1
11220334,0
11220340,0
11220341,1
11220342,1
11220346,0
11220348,0
11220349,0
11220351,0
11220354,0
11220355,0
11220356,0
11220357,0
11220358,1
11220361,1
11220362,0
11220363,1
11220365,0
11220367,1
11220368,0
11220369,1
11220370,0
11220371,1
11220372,1
11220374,1
11220375,0
11220376,1
11220381,1
11220382,0
11220383,0
11220384,1
11220385,1
11220386,1
11220387,1
11220389,0
11220390,1
11220392,0
11220393,1
11220395,0
11220397,1
11220398,1
11220399,0
11220401,0
11220403,0
11220404,0
11220405,1
11220407,1
11220408,0
11220409,0
11220410,0
11220412,0
11220413,0
11220416,0
11220417,0
11220418,1
11220419,0
11220420,0
11220421,0
11220423,0
11220424,1
11220426,0
11220428,0
11220429,1
11220430,0
11220431,1
11220432,0
11220433,1
11220436,1
11220437,1
11220438,0
11220440,0
11220442,1
11220443,1
11220444,1
11220446,0
11220447,1
11220448,0
11220449,1
11220450,0
11220452,0
11220454,0
11220455,0
11220458,0
11220459,0
11220463,0
11220466,1
11220468,0
11220469,1
11220471,0
11220473,1
11220474,0
11220475,1
11220478,1
11220479,0
11220481,0
11220483,0
11220485,1
11220486,0
11220487,0
11220489,0
11220491,0
11220494,0
11220496,0
11220497,0
11220498,0
11220499,1
11220500,1
11220501,1
11220502,1
11220503,0
11220504,0
11220505,1
11220506,1
11220507,0
11220508,0
11220511,0
11220513,1
11220514,0
11220515,0
11220517,0
11220519,0
11220520,0
11220522,0
11220523,0
11220524,0
11220525,0
11220532,1
11220534,1
11220535,1
11220537,0
11220538,0
11220539,1
11220540,0
11220545,0
11220547,1
11220548,0
11220549,1
11220552,0
11220553,0
11220554,0
11220558,0
11220560,1
11220563,1
11220564,0
11220567,0
11220568,1
11220570,0
11220571,0
11220572,0
11220574,1
11220576,0
11220577,1
11220579,1
11220580,1
11220581,0
11220583,1
11220585,0
11220587,0
11220588,0
11220590,1
11220592,1
11220593,0
11220594,0
11220595,0
11220597,1
11220598,0
11220599,1
11220600,1
11220601,0
11220603,0
11220605,0
11220606,0
11220609,1
11220611,1
11220612,0
11220615,0
11220619,0
11220620,0
11220622,1
11220624,0
11220625,0
11220627,1
11220631,1
11220635,0
11220637,1
11220638,0
11220640,1
11220642,0
11220643,1
11220645,1
11220646,0
11220649,1
11220650,0
11220651,1
11220652,0
11220654,1
11220655,1
11220657,0
11220659,1
11220660,0
11220661,0
11220663,0
11220665,0
11220666,0
11220667,1
11220669,0
11220670,0
11220671,0
11220672,0
11220673,0
11220674,0
11220675,0
11220676,1
11220679,0
11220681,0
11220682,1
11220684,1
11220685,1
11220690,0
11220691,1
11220692,1
11220693,0
11220694,0
11220696,0
11220697,1
11220699,1
11220701,1
11220702,0
11220703,0
11220704,0
11220705,0
11220706,0
11220709,1
11220710,1
11220711,1
11220712,0
11220713,0
11220716,0
11220717,0
11220719,0
11220720,1
11220722,0
11220723,0
11220724,0
11220725,0
11220726,1
11220729,0
11220731,1
11220732,0
11220733,0
11220735,0
11220736,1
11220737,0
11220738,1
11220739,1
11220740,1
11220742,0
11220743,0
11220744,0
11220745,0
11220747,0
11220748,0
11220749,0
11220754,0
11220760,0
11220761,0
11220763,1
11220764,0
11220765,0
11220769,0
11220770,1
11220771,1
11220772,0
11220773,1
11220775,0
11220776,0
11220777,1
11220782,0
11220783,1
11220785,1
11220788,0
11220790,1
11220793,0
11220794,0
